isic_12,eco
RealEstate,12.105259393885646
Construction,46.796147917278084
Agriculture,62.54634679360709
Trade,64.82234316772463
Utilities,68.7255492345641
Transport,102.67882661694
Manufacturing,190.48087961763864
Mining,206.19274736530966
OtherServices,241.46207603287556
Business,286.7666619031974
Government,1566.9520865688169
Financial,10853.415901817301
