Indicator,AG13,AG14,AG15,AG16,AG18,AG19,AG20,BU13,BU14,BU15,BU16,BU17,BU18,BU19,BU20,CO13,CO14,CO15,CO16,CO17,CO18,CO19,CO20,FI13,FI14,FI15,FI16,FI17,FI18,FI19,FI20,GO13,GO14,GO15,GO16,GO17,GO18,GO19,GO20,MA13,MA14,MA15,MA16,MA17,MA18,MA19,MA20,MI13,MI14,MI15,MI16,MI18,MI19,MI20,OT13,OT14,OT15,OT16,OT17,OT18,OT19,OT20,RE13,RE14,RE15,RE16,RE17,RE18,RE19,RE20,TD13,TD14,TD15,TD16,TD17,TD18,TD19,TD20,TR13,TR14,TR15,TR16,TR17,TR18,TR19,TR20,UT13,UT14,UT15,UT16,UT17,UT18,UT19,UT20
PIB,3594004000,3143816000,3525412000,3527436000,3204584000,4087916000,4327504000,3594004000,3143816000,3525412000,3527436000,3185772000,3204584000,4087916000,4327504000,3594004000,3143816000,3525412000,3527436000,3185772000,3204584000,4087916000,4327504000,3594004000,3143816000,3525412000,3527436000,3185772000,3204584000,4087916000,4327504000,3594004000,3143816000,3525412000,3527436000,3185772000,3204584000,4087916000,4327504000,3594004000,3143816000,3525412000,3527436000,3185772000,3204584000,4087916000,4327504000,3594004000,3143816000,3525412000,3527436000,3204584000,4087916000,4327504000,3594004000,3143816000,3525412000,3527436000,3185772000,3204584000,4087916000,4327504000,3594004000,2357862000,1762706000,2645577000,2389329000,3204584000,3065937000,3245628000,3594004000,3143816000,3525412000,3527436000,3185772000,3204584000,4087916000,4327504000,3594004000,3143816000,3525412000,3527436000,3185772000,3204584000,4087916000,4327504000,3594004000,3143816000,3525412000,3527436000,3185772000,3204584000,4087916000,4327504000
quant_poluentes_emitidos,497.0,346.5,453.0,380.0,1022.5,231.5,130.0,72.0,51.0,50.0,50.0,56.0,50.0,34.5,47.5,14.0,15.0,11.0,13.16336,10.0,10.0,6.0,6.0,14.13,28.6985,19.6615,90.0,50.0,3.0,3.0,5.0,10.0,11.0,16.88835,20.0,10.0,16.5,179.0,21.37924,130.0,135.0,138.0,130.0,132.5,143.0,132.0,148.0,100.0,100.0,100.5,90.0,80.0,100.0,71.0,58.5,97.0,74.0,48.5,317.5,42.0,76.0,52.5,220.0,0.0,0.0,0.0,0.0,76.5,72000.0,350.0,32.0,34.0,25.0,34.0,32.0,30.0,22.0,20.0,50.0,32.8885,74.0,50.0,50.0,50.0,48.5,79.0,150.0,100.0,316.5,186.5,219.0,218.0,200.0,180.0
co2_emissions,5228.0,30752.0,46128.0,78303.0,68767.0,22283.0,39489.0,19015.0,20897.5,17408.0,11722.0,19507.5,5461.0,5934.5,4839.5,38298.5,56160.0,65908.0,74745.0,82911.0,76269.0,93145.0,66766.0,281.052788,21.161236,812.921662,181.3572485,94981.2313185,7814.0,71689.0,10.0740775,7166.0,7166.0,17590.0,26957.0,13024.0,13024.0,13455.0,5535.0,7609.0,9377.0,10367.0,9389.0,10055.0,11333.0,10419.0,10445.0,15629.0,14066.0,12438.0,14548.0,20708.0,26048.0,18862.0,6563.5,13772.0,12900.0,2723.5,1042.0,17930.5,18242.5,3907.0,36566.0,39072.0,39072.0,11055.0,92.256269,92.256269,0.0,0.0,16248.0,11012.5,14514.5,18111.5,18106.5,16150.0,12969.0,7905.0,30750.0,4102.5,17460.0,29955.5,13024.0,20838.0,24054.0,20838.0,170.155869,191.308887,248.065609,389.8091355,625.0,7611.0,1152.5,7637.0
massa_salarial,6070529715,6921854905,8758125.34,8924867.46,10970461.99,6869399825,10164602.98,3918854165,2502116565,3717144.65,3961433.17,2950942.5,4928188055,4401921.6,4420625.385000001,10333736075,8896482425,6566910.17,4326475385,3881532.0,4460215.859999999,4521077105,5008346.03,2005840447175,14958719.66,4170756768845,2555361730375,1981002340.0,623980.7,1383190325,992233475,57391165.00000001,61975749.25,58072860405,62729653.11,67164416.0,65163340855,47538553.82,49290517105,8111703.41,8330523.56,8253753.800000001,7967471.01,8102017.0,8333774.77,8624514.97,8774943055,5548237725,4814500095,4341606.08,4485185.93,3740629105,4038389.07,4109739.67,1227201025,1244928.47,1368777.6800000002,1270299475,4895469.0,1526099775,1566645.79,1396710.92,2941465.84,1606494.7400000002,734902.39,817890.52,668668.0,688924.72,1022771935,1543474.79,692705135,910147725,1017130845,1111455.25,1063268.0,1098518.76,1075597.16,1032426.69,5199419.3950000005,5494027.01,6123161.69,6564786.78,6474998.5,6653444.07,6274693.350000001,6564708655,3706969505,3384818.62,3743562.61,4057079.04,4467156.0,4486877285,4327019185,4595024.1
eco_efic_co2_emissions,187.5681537855468,66.32481569308263,70.446043974155,50.86190141277641,50.93340063968873,159.03264197323392,180.9752028238458,46.58894980067917,42.81231744362659,23.811726564999468,136.59223972738633,7.025443154826731,105.92690333402264,100.74314276705856,112.39486910994763,65.20338869150075,29.45751135661276,22.68911768761997,17.406130160584325,11.867293890565517,15.78654499169733,14.19791394596657,24.55427657007844,10643.71406204021,2492195.819206628,11704.505278903873,14412.93149082452,10421.61065194045,1.1579677501919632,3.901704960285526,742.2472957946018,472.9393776165225,521.2728746860173,1143.6931380378664,2051.545844009502,2680.288294236151,2018.389232186732,2412.8394361584624,1496.348160831286,306.59134189031505,287.8333130682894,275.940590182893,289.8475976909414,259.8767550702028,261.881764803888,263.1552250886531,270.0616745283019,10.396489142424391,8.385121563371241,11.675951835059884,14.35177360768388,9.377290650802944,7.423061331646282,8.24283890317804,103.27857450756228,13.792530679045376,93.374039925779,190.211755829904,1420.1241379310345,40.40886687915096,52.37374112269025,189.6718244583016,97.2164777886693,14.523705722768222,17.993979576167078,1794.5023866816407,1029.393460513778,827.9810231649407,0.0,0.0,26.435574814395743,28.254127588293485,24.648837743993997,45.183625305442526,42.62532647478065,33.03078274582917,31.561165743305637,47.734573110222414,15.516294398054594,19.32120953625185,7.95393742995166,6.751382385286883,157.28167484192613,10.7590635111177,24.819270577395574,21.17755669078341,9469.10802284081,8993.132428467492,12710.23349203914,6239.925921503162,1229.4856751479606,66.96694415059054,297.7568606838019,60.61843937396228
eco_efic_quant_poluentes_emitidos,3535884,2133.570084680694,2407.781908505154,2831.2199484358885,3720.3161357940303,4689.693417628284,5786.46739471086,20651.824444444446,18046.011416666668,16995.303832951948,28163.798142857144,5264.325029580122,7346.087527031485,9772.816666666666,3098.816037411667,23393.597142857143,28376.40142857143,5942.332275000001,10237105,14530.566666666666,16540.537778646853,31863.08774941725,23584.035410535715,15414144.829923078,7589674.297328949,23159344.94627778,14058632.894708334,15228057.484615386,34050.25921428571,46981.7405,39038.74895,2303055.558285714,3339582.452972973,1036965.2019,765947.4362903226,2830823.5555555555,1686423.5604383117,111903.99849162012,1161155.4077586208,9025.1115,9426.733398573702,10233.140752702702,9756.753875598086,9255.275365418896,9943.36055860806,10061.480396396397,9020.880469006142,5622.865916725978,4271.527638132938,7526.706622338395,6906.119945078158,4784.116317988942,5072.872471428572,6640.209270851796,5470.800639534884,3124.925205479452,7216.06411914473,7272.963711340206,6377.449300531783,7375.760188172044,4332.674482758621,4625.1417,10111.288825,0.0,0.0,0.0,0.0,5219.354181318682,5.432965416666667,1787.3880285714288,3730.7246,4648.81945,3596.34375,3561.386985507246,2925.5304347826086,4363.634575862069,3451.943830989452,3200.88225,3819.214372236959,1333.8563,3810.2800992626208,3187.953389090909,3930.319534883721,3416.7174897022323,4739.6351,3267.530306122449,6656916,3695.518485,2770.350505836576,3686.095968913536,3755.831884720952,2943.2866677218462,2918.8716702368565,2329.289344801434
