,Descrição,N° de empresas
458,Fabricação de redes tecidas de plástico para embalagens,0
459,Fabricação de rendas e bordados manuais,0
460,Fabricação de rendas,0
461,Fabricação de tecidos bordados,0
462,Fabricação de tecidos elásticos,0
463,Fabricação de tules e filós,0
464,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",33530
465,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",759
466,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",39642
467,Fabricação de botas de couro,0
468,Fabricação de calçados de couro para esportes (exceto tênis ou quedis),0
469,Fabricação de calçados de couro para segurança industrial,0
470,"Fabricação de calçados de couro, infantis",0
471,"Fabricação de calçados de couro, n.e.",0
472,"Fabricação de chinelos e alpercatas de couro, femininos",0
473,"Fabricação de chinelos e alpercatas de couro, infantis",0
474,"Fabricação de chinelos e alpercatas de couro, masculinos",0
475,Fabricação de chuteiras,0
476,"Fabricação de sandálias de couro, feminino",0
477,"Fabricação de sandálias de couro, masculino",0
478,"Fabricação de sapatos de couro, femininos",0
479,"Fabricação de sapatos de couro, masculino",0
480,Fabricação de sapatênis de couro,0
481,Serviços de customização em calçados de couro,0
482,Serviços de montagem e costura de calçados de couro,0
483,Serviços de pesponto e outros acabamentos em calçados de couro,0
484,Fabricação de tênis ou quedis de qualquer material,0
485,Fabricação de calçados de material sintético montado,0
486,Fabricação de calçados de plástico para adultos,0
487,Fabricação de calçados de plástico para crianças,0
488,Fabricação de calçados de plástico para esportes (exceto tênis),0
489,Fabricação de calçados de plástico para segurança industrial,0
490,Fabricação de chinelo de material de plástico moldado,0
491,Fabricação de chinelos de material plástico,0
492,Fabricação de chinelos de plástico para adultos,0
493,Fabricação de chinelos de plástico para crianças,0
494,Fabricação de sandálias de material plástico,0
495,Fabricação de calçados de borracha para segurança industrial,0
496,Fabricação de calçados de borracha,0
497,Fabricação de calçados de tecidos,0
498,Fabricação de calçados para segurança (exceto de couro e plástico),0
499,Fabricação de chinelos de borracha para adultos,0
500,Fabricação de chinelos de borracha para crianças,0
501,"Fabricação de chinelos, sandálias e alpercatas de outros materiais (exceto couro e plástico)",0
502,Fabricação de sandálias (chinelos) de borracha para adultos,0
503,Fabricação de sandálias (chinelos) de borracha para crianças,0
504,Fabricação de sandálias e alpercatas de lona e fibras,0
505,Fabricação de tamancos,0
506,Fabricação de cabedal de couro para calçados,0
507,Fabricação de cepos e solados de madeira para calçados,0
508,Fabricação de contrafortes e couraças para calçados,0
509,Fabricação de contrafortes para calçados,0
510,Fabricação de cortes de couro para calçados,0
511,"Confecção de cortes, viras, contrafortes, trancinhas e outros acessórios para calçados",0
512,Fabricação de palmilhas para calçados de qualquer material,0
513,Fabricação de partes de borracha para calçados,0
514,Fabricação de partes de couro para calçados,0
515,Fabricação de partes de material plástico para calçados,0
516,Fabricação de partes de material sintético para calçados,0
517,Fabricação de partes de tecidos para calçados,0
518,Fabricação de saltos de borracha para calçados,0
519,Fabricação de saltos de cortiça para calçados,0
520,Fabricação de saltos de couro para calçados,0
521,Fabricação de saltos de madeira para calçados,0
522,"Fabricação de saltos e solados de couro para calçados, forrados ou não",0
523,Fabricação de saltos e solados de plástico para calçados,0
524,Fabricação de solados de borracha,0
525,Fabricação de solados de couro para calçados,0
526,Fabricação de solados de madeira para calçados,0
527,Fabricação de solas de borracha para calçados,0
528,Fabricação de viras para calçados,0
529,Fabricação de laminados planos e tubulares de material plástico,2025
530,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",20421
531,Fabricação de embalagens de material plástico,16743
532,Fabricação de tubos e acessórios de material plástico para uso na construção,793
533,Fabricação de artefatos de material plástico para uso pessoal de doméstico,0
534,Fabricação de artefatos de material plástico para usos industriais,5483
535,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",2865
536,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,24260
537,"Fabricação de móveis de outros materiais, exceto madeira e metal",11965
538,Processamento industrial do fumo,136
539,Fabricação de cigarros,1030
540,Fabricação de cigarrilhas e charutos,170
541,Fabricação de filtros para cigarros,33
542,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",1417
543,"Preparação de Massa de concreto (cimento, areia, brita, água, aditivos, etc.) dosadas por usinas inclusive o transporte através de caminhões betoneiras ou por dutos até o local da construção",0
544,Coquerias,90
545,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",326
546,Fabricação de cloro e álcalis,114
547,Fabricação de intermediários para fertilizantes,195
548,Fabricação de gases industriais,736
549,Elaboração de combustíveis nucleares,6
550,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,789
551,"Fabricação de intermediários para plastificantes, resinas e fibras",297
552,Fabricação de produtos químicos orgânicos não especificados anteriormente,3982
553,Fabricação de adesivos e selantes,1015
554,Fabricação de aditivos de uso industrial,1913
555,Fabricação de catalisadores,50
556,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia",191
557,Fabricação de outros produtos químicos não especificados anteriormente,8187
558,Fabricação de produtos do refino de petróleo,569
559,Formulação de combustíveis,40
560,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",326
561,Fabricação de produtos petroquímicos básicos,289
562,Fabricação de produtos químicos orgânicos não especificados anteriormente,3982
563,Produção de gás; processamento de gás natural,272
564,Fabricação de produtos químicos orgânicos não especificados anteriormente,3982
565,Fabricação de aditivos de uso industrial,1913
566,Fabricação de outros produtos químicos não especificados anteriormente,8187
567,"Fabricação de pólvoras, explosivos e detonantes",359
568,Fabricação de artigos pirotécnicos,317
569,Fabricação de fósforos de segurança,13
570,Fabricação de munição para armas de fogo e para outras armas,0
571,Fabricação de aromas e essências sintéticas,0
572,Fabricação de aromas e fragrâncias sintéticas,0
573,Fabricação de essências e concentrados aromáticos artificiais,0
574,"Fabricação de misturas de substâncias aromáticas utilizadas como matéria básica para indústrias, exceto para as indústrias alimentar e de bebidas",0
575,Fabricação de misturas de substâncias aromáticas utilizadas nas indústrias alimentar e de bebidas,0
576,Fabricação de águas destiladas aromáticas,0
577,Fabricação de aromas e fragrâncias sintéticas,0
578,Fabricação de essências e fragrâncias sintéticas,0
579,Fabricação de misturas de substâncias odoríferas para usos industriais,0
580,Fabricação de desinfestantes domissanitários,1996
581,Fabricação de produtos de limpeza e polimento,12775
582,"Fabricação de tintas, vernizes, esmaltes e lacas",5262
583,Fabricação de tintas de impressão,247
584,"Fabricação de impermeabilizantes, solventes e produtos afins",660
585,Fabricação de adubos e fertilizantes organominerais,0
586,"Fabricação de adubos e fertilizantes, exceto organominerais",0
587,Fabricação de defensivos agrícolas,650
588,"Fabricação de intermediários para farmoquímicos, defensivos agrícolas e aditivos em geral (1)",0
589,Fabricação de produtos farmoquímicos,755
590,Fabricação de medicamentos alopáticos para uso humano,2313
591,Fabricação de medicamentos homeopáticos para uso humano,215
592,Fabricação de medicamentos fitoterápicos para uso humano,152
593,Fabricação de medicamentos para uso veterinário,902
594,Fabricação de preparações farmacêuticas,139
595,Fabricação de sabões e detergentes sintéticos,10760
596,"Fabricação de velas, inclusive decorativas",6375
597,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",12316
598,Fabricação de álcool,1889
599,Fabricação de metanol (álcool metílico),0
600,Produção de creosoto de madeira,0
601,Fabricação de óleo de creosoto,0
602,"Fabricação de óleos e produtos da destilação do alcatrão de hulha e de outros alcatrões minerais (benzóis, naftaleno, creosoto, toluóis, xilóis) (1)",0
603,Fabricação de preparações químicas para tratamento da madeira,0
604,Fabricação de cloro e álcalis,114
605,Fabricação de dispersantes,0
606,Recuperação de óleo lubrificante queimado,0
607,Produção de óleos lubrificantes recuperados (rerrefinados),0
608,"Fabricação de óleos lubrificantes rerrefinados, com aditivos",0
609,"Fabricação de óleos lubrificantes rerrefinados, sem aditivos",0
610,"Recuperação, reciclagem, rerrefino de óleos lubrificantes usados",0
611,Recuperação de óleo lubrificante queimado,0
612,Produção de óleos lubrificantes recuperados (rerrefinados),0
613,"Fabricação de óleos lubrificantes rerrefinados, com aditivos",0
614,"Fabricação de óleos lubrificantes rerrefinados, sem aditivos",0
615,"Recuperação, reciclagem, rerrefino de óleos lubrificantes usados",0
616,Frigorífico - abate de bovinos,8896
617,Frigorífico - abate de equinos,0
618,Frigorífico - abate de ovinos e caprinos,189
619,Frigorífico - abate de bufalinos,17
620,"Matadouro - abate de reses sob contrato, exceto abate de suínos",0
621,Abate de aves,9059
622,Abate de pequenos animais,344
623,Frigorífico - abate de suínos,1032
624,Matadouro - abate de suínos sob contrato,44
625,Fabricação de produtos de carne,19036
626,Preparação de subprodutos do abate,1311
627,Fabricação de conservas de frutas,19577
628,Fabricação de conservas de palmito,574
629,"Fabricação de conservas de legumes e outros vegetais, exceto palmito",6146
630,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",6520
631,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",6107
632,Preparação do leite,3463
633,Fabricação de laticínios,26522
634,Fabricação de sorvetes e outros gelados comestíveis,20731
635,Fabricação de açúcar em bruto,2843
636,Fabricação de açúcar de cana refinado,358
637,Fabricação de açúcar de cereais (dextrose) e de beterraba,4
638,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",1596
639,"Fabricação de óleos vegetais refinados, exceto óleo de milho",566
640,Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais,139
641,Fabricação de óleo de milho em bruto,5
642,Fabricação de óleo de milho refinado,0
643,Fabricação de produtos derivados do cacau e de chocolates,24214
644,Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais,139
645,Fabricação de fermentos e leveduras,134
646,Fabricação de alimentos para animais,9943
647,Fabricação de vinho,2316
648,Fabricação de vinagres,8042
649,"Fabricação de malte, inclusive malte uísque",247
650,Fabricação de cervejas e chopes,3852
651,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",6520
652,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",6107
653,"Fabricação de produtos para infusão (chá, mate, etc.)",2401
654,Fabricação de águas envasadas,3319
655,Fabricação de refrigerantes,2414
656,Fabricação de chá mate e outros chás prontos para consumo,136
657,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",1373
658,Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente,801
659,Fabricação de aguardente de cana-de-açúcar,7013
660,Fabricação de outras aguardentes e bebidas destiladas,1853
661,Geração de energia elétrica,19403
662,"Tratamento de esgoto por meio de processos físicos, químicos e biológicos, tais como: a diluição, seleção, filtragem e sedimentação",0
663,Tratamento de águas residuais de indústrias para prevenção da poluição,0
664,Operação de estações de tratamento de esgoto (ETE),0
665,"Tratamento de esgoto por meio de processos físicos, químicos e biológicos, tais como: a diluição, seleção, filtragem e sedimentação",0
666,Tratamento de águas residuais de indústrias para prevenção da poluição,0
667,Usinas de compostagem,546
668,Fabricação de briquetes de bagaço de cana ou de materiais semelhantes;,0
669,Fabricação de briquetes de bagaço de cana ou de materiais semelhantes (biomassa);,0
670,"Fabricação de briquetes, lenhas ou carvões ecológicos de resíduos de casca de coco ou outras fibras vegetais;",0
671,"Fabricação de briquetes (pellets) a partir da secagem e compactação de biomassa (bagaço de cana-de-açúcar, casca de arroz ou de amendoim, bagaço de mandioca, pó ou cavacos de madeira e outros resíduos semelhantes).",0
672,"Descontaminação do solo através combustão, pirólise ou incineração",0
673,Descontaminação do solo através de dessorteação em reator,0
674,"Descontaminação do solo através de landfarming, cometabolismo ou desnitrificação,",0
675,Descontaminação do solo através de lavagem ou extração,0
676,Descontaminação do solo através de processos de vitrificação ou eletrocinéticos,0
677,Descontaminação do solo através de reatores biológicos,0
678,"Descontaminação do solo ou água através de processos físicos, químicos, térmicos, biológicos, isolamento ou confinamento",0
679,Limpeza de solo contaminado,0
680,Transporte ferroviário de carga,551
681,Transporte rodoviário de produtos perigosos,26141
682,Transporte marítimo de cabotagem - carga,0
683,Transporte marítimo de longo curso - carga,0
684,"Transporte por navegação interior de carga, municipal, exceto travessia",2770
685,"Transporte por navegação de travessia intermunicipal, interestadual e internacional",2118
686,Transporte dutoviário,384
687,"A coleta e transporte de esgoto doméstico ou industrial e de águas pluviais por meio de redes de coletores, tanques e outros meios de transporte",0
688,"Exploração de portos, terminais marítimos, atracadouros",0
689,Exploração dos aeroportos e campos de aterrissagem,0
690,Operação dos aeroportos e campos de aterrissagem,1310
691,Serviços de operação em terminais ferroviários,0
692,Serviços de operação em terminais rodoviários,0
693,Serviços de operações de terminais,0
694,Serviços de gestão e operação de terminais aquaviários de carga,0
695,Transporte ferroviário de carga,551
696,Transporte rodoviário de produtos perigosos,26141
697,Transporte marítimo de cabotagem - carga,0
698,Transporte marítimo de longo curso - carga,0
699,"Transporte por navegação interior de carga, municipal, exceto travessia",2770
700,"Transporte por navegação de travessia intermunicipal, interestadual e internacional",2118
701,Transporte ferroviário de carga,551
702,Transporte rodoviário de produtos perigosos,26141
703,Transporte marítimo de cabotagem – carga,0
704,Transporte marítimo de longo curso - carga,0
705,"Transporte por navegação interior de carga, municipal, exceto travessia",2770
706,"Transporte por navegação de travessia intermunicipal, interestadual e internacional",2118
707,Transporte ferroviário de carga,551
708,Transporte rodoviário de produtos perigosos,26141
709,Transporte marítimo de cabotagem - carga,0
710,Transporte marítimo de longo curso - carga,0
711,"Transporte por navegação interior de carga, municipal, exceto travessia",2770
712,"Transporte por navegação de travessia intermunicipal, interestadual e internacional",2118
713,Transporte aéreo de carga,468
714,Exploração de parque temático,0
715,Extração de madeira em florestas nativas,1236
716,Produção de carvão vegetal - florestas nativas,1505
717,Pesca de peixes em água salgada,3893
718,Pesca de crustáceos e moluscos em água salgada,511
719,Coleta de outros produtos marinhos,42
720,Pesca de peixes em água doce,6044
721,Pesca de crustáceos e moluscos em água doce,8
722,Coleta de outros produtos aquáticos de água doce,71
723,Criação de outros animais não especificados anteriormente (6),0
724,"Criação de aves, exceto galináceos (7)",0
725,"Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental",4257
726,Extração de madeira em florestas plantadas,13387
727,Produção de carvão vegetal - florestas plantadas,6904
728,Extração de madeira em florestas plantadas,13387
729,Produção de carvão vegetal - florestas plantadas,6904
730,Coleta de palmito em florestas nativas,107
731,Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas,0
732,Exploração de aeroportos e campos de aterrissagem,0
733,Operação de campo de pouso de aeronaves,0
734,Operação de campos de aterrissagem,0
735,Operação dos aeroportos e campos de aterrissagem,1310
736,Exploração de aeroportos e campos de aterrissagem,0
737,Operação de campo de pouso de aeronaves,0
738,Operação de campos de aterrissagem,0
739,Operação dos aeroportos e campos de aterrissagem,1310
740,Transmissão de energia elétrica,2880
741,Geração de energia elétrica,19403
742,Geração de energia elétrica,19403
743,Distribuição de energia elétrica,5066
