,CNAE,PP/GU,N° de empresas
93,"Fabricação de motores elétricos, peças e acessórios",Médio,440
94,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,Médio,2826
95,Fabricação de material elétrico para instalações em circuito de consumo,Médio,1408
96,"Fabricação de fios, cabos e condutores elétricos isolados",Médio,2060
97,Fabricação de luminárias e outros equipamentos de iluminação,Médio,4116
98,Fabricação de equipamentos para sinalização e alarme,Médio,801
99,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,Médio,4190
100,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",Médio,1741
101,"Fabricação de aparelhos e equipamentos de medida, teste e controle",Médio,3261
102,Fabricação de cronômetros e relógios,Médio,403
103,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,Médio,885
104,"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios",Médio,128
105,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",Médio,591
106,"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios",Médio,100
107,"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios",Médio,1452
108,Fabricação de lâmpadas,Médio,293
109,"Fabricação de automóveis, camionetas e utilitários",Médio,519
110,"Fabricação de chassis com motor para automóveis, camionetas e utilitários",Médio,33
111,"Fabricação de motores para automóveis, camionetas e utilitários",Médio,36
112,Fabricação de caminhões e ônibus,Médio,140
113,Fabricação de motores para caminhões e ônibus,Médio,11
114,"Fabricação de cabines, carrocerias e reboques para caminhões",Médio,4067
115,Fabricação de carrocerias para ônibus,Médio,116
116,"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus",Médio,2331
117,Fabricação de peças e acessórios para o sistema motor de veículos automotores,Médio,1183
118,Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores,Médio,349
119,Fabricação de peças e acessórios para o sistema de freios de veículos automotores,Médio,402
120,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,Médio,705
121,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",Médio,1366
122,Fabricação de bancos e estofados para veículos automotores,Médio,3831
123,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,Médio,6779
124,Recondicionamento e recuperação de motores para veículos automotores,Médio,10888
125,"Fabricação de locomotivas, vagões e outros materiais rodantes",Médio,141
126,Fabricação de peças e acessórios para veículos ferroviários,Médio,149
127,Fabricação de motocicletas,Médio,400
128,Fabricação de peças e acessórios para motocicletas,Médio,316
129,Fabricação de aeronaves,Médio,428
130,"Fabricação de turbinas, motores e outros componentes e peças para aeronaves",Médio,67
131,Construção de embarcações de grande porte,Médio,854
132,Construção de embarcações para esporte e lazer,Médio,1542
133,Manutenção e reparação de embarcações e estruturas flutuantes,Médio,2164
134,Manutenção e reparação de embarcações para esporte e lazer,Médio,5786
135,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",Médio,4851
136,Fabricação de outros artigos de carpintaria para construção,Médio,38459
