,Indicator,2013,2014,2015,2016,2017,2018,2019,2020
0,co2_emissions,602691628.781994,622171125.852587,661825645.614449,673296548.302546,705781395.017053,725877993.923758,761976344.435933,767290947.266634
1,massa_salarial,212834583222.04,228959249001.11002,277871385981.42,280851064802.05,294632433193.0,294639606504.67,300372775303.67004,299688276146.03
2,quant_poluentes_emitidos,55490816.021800004,60608991.07049,66785843.04959001,72367217.83008,74267597.53507,78963093.34599,77838302.09432,82856291.52267
