cod_cnae
60000
91060
23915
23117
23125
23192
23206
23303
23419
23427
23494
23923
23991
24121
24211
24229
24237
24512
24245
24318
24393
25314
24415
24431
24491
24423
24415
24491
25322
25110
25136
25217
25225
25128
25322
25411
25420
25438
25501
25918
25926
25934
25993
25390
28119
28127
28135
28143
28151
28216
28224
28232
28241
28291
28313
28321
28330
28518
28526
28534
28542
28623
28631
28640
28658
28666
28691
27210
27228
26108
26213
26221
26311
26329
27902
27104
27317
27325
27333
27406
27902
26400
26515
26523
26604
26701
27511
27597
27406
29107
29204
29301
29417
29425
29433
29441
29450
29492
29506
30318
30326
30911
30415
30423
30113
30121
33171
16218
16226
31012
17109
17214
17311
17427
22129
15106
15297
13146
13308
13405
22218
15211
22226
22234
22293
31039
12107
12204
19101
19225
20118
20126
20142
20193
20223
20291
20916
20932
20941
20991
19217
19225
20215
35204
20924
20525
20622
20711
20720
20738
20517
21106
21211
21220
21238
20614
32990
20631
19314
10112
10121
10139
10317
10325
10333
10511
10520
10538
10716
10724
10414
10422
10431
10651
10937
10996
10660
11127
10996
11135
10996
11216
11224
11119
35115
38394
49116
49302
50211
50912
49400
52401
51200
22090
31160
31240
91031
21010
22090
35123
35140
