Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia
CACULE,Trade,8,10745.017558352401
CAEM,Manufacturing,3,5912.396624999999
CAETITE,Manufacturing,59,161055.05314170383
CAFARNAUM,Trade,5,62287.754400000005
CAIRU,Agriculture,6,604935.9040539216
CAMACARI,Manufacturing,2721,148837.14772727274
CAMACARI,Construction,39,7932857.313040866
CAMACARI,Trade,58,3340.52633
CAMACARI,Utilities,137,332817.7540767386
CAMACARI,Transport,36,5115692.875
CAMACARI,OtherServices,14,3703223.4146341467
CAMACARI,Business,16,12.061137837298894
CAMAMU,Manufacturing,7,33997316.34597066
CAMPO ALEGRE DE LOURDES,Mining,7,206.96474285714288
CAMPO FORMOSO,Manufacturing,23,18933688.409703504
CAMPO FORMOSO,Mining,14,17207.97870901639
CANAVIEIRAS,Trade,6,6637180.087692307
CANDEIAS,Manufacturing,539,541182.2295198111
CANDEIAS,Construction,4,2116351.8735453887
CANDEIAS,Trade,43,33967.01741334205
CANDEIAS,Transport,88,260994.13513513515
CANDEIAS,Mining,30,7196.463950980392
CANDIBA,Manufacturing,4,2247775.4424651475
CANSANCAO,Trade,4,24686.356431259683
CAPIM GROSSO,Trade,4,733.5477745454546
CASA NOVA,Manufacturing,20,83562.2799849606
CASTRO ALVES,Manufacturing,66,608808.8736471862
CASTRO ALVES,Trade,15,12738.803366014856
CATU,Manufacturing,13,1892341.3063477462
CATU,Mining,229,1396029.7718421053
CATURAMA,Manufacturing,4,445843.69908661745
CONCEICAO DO ALMEIDA,Manufacturing,8,180075.30500000002
CONCEICAO DO COITE,Manufacturing,52,4668216.474233529
CONCEICAO DO JACUIPE,Manufacturing,117,514828.34304207127
CONCEICAO DO JACUIPE,Trade,13,1349363.3854761904
CONCEICAO DO JACUIPE,Transport,9,3896919.2476190478
CONCEICAO DO JACUIPE,OtherServices,3,1322.5754000000002
CONCEICAO DO JACUIPE,Mining,4,45974.27508662585
CORACAO DE MARIA,Manufacturing,18,8087.224297584049
CORIBE,Trade,3,5.2767928289027015
CORRENTINA,Manufacturing,4,2363666853.602816
CORRENTINA,Agriculture,14,36240.02250712251
CORRENTINA,OtherServices,13,20202.35947580645
CORRENTINA,Mining,6,31008312.80770122
CRUZ DAS ALMAS,Manufacturing,12,1151624.6972519148
CRUZ DAS ALMAS,Agriculture,4,1463565.0096205485
CURACA,Trade,3,91854.82223605085
DIAS D'AVILA,Manufacturing,123,205282.3010353261
DIAS D'AVILA,Transport,5,1460.1292468519837
DIAS D'AVILA,OtherServices,6,7452.18
ENTRE RIOS,Agriculture,10,48246742.606742375
ESPLANADA,Agriculture,4,860.1019961612284
EUCLIDES DA CUNHA,Manufacturing,8,35279113.3902439
EUNAPOLIS,Manufacturing,113,89162.52312184189
FEIRA DE SANTANA,Manufacturing,833,156464.57857142857
FEIRA DE SANTANA,Construction,33,96369.94186721065
FEIRA DE SANTANA,Trade,113,383020.28057553957
FEIRA DE SANTANA,Utilities,41,72352.18267857144
FEIRA DE SANTANA,Transport,6,45233699827.15016
FEIRA DE SANTANA,Business,3,45634.168103448275
FEIRA DE SANTANA,Mining,3,7055046.173374613
FIRMINO ALVES,Manufacturing,68,12790.390208333334
FORMOSA DO RIO PRETO,Trade,3,109490.2605
GANDU,Trade,10,303008.0774573673
GLORIA,Agriculture,5,79353.7
