ano,region,0,razao
2002,Centro-oeste,210,10571.717095238095
2002,Nordeste,553,5063.693236889692
2002,Norte,225,7048.1211111111115
2002,Sudeste,4122,1951.2649830179523
2002,Sul,2324,219.55618330464716
2003,Centro-oeste,246,9504.235975609756
2003,Nordeste,621,3658.904041867955
2003,Norte,266,5203.431315789474
2003,Sudeste,4443,1205.2265541300924
2003,Sul,2476,264.50066235864296
2004,Centro-oeste,294,7732.871054421768
2004,Nordeste,661,5116.239984871407
2004,Norte,295,2670.132033898305
2004,Sudeste,4772,2012.3365737636213
2004,Sul,2560,781.71183203125
2005,Centro-oeste,341,5520.212052785924
2005,Nordeste,735,3246.2803129251697
2005,Norte,352,5388.265482954545
2005,Sudeste,5184,2106.690337577161
2005,Sul,2861,503.44029709891646
2006,Centro-oeste,400,5980.720899999999
2006,Nordeste,852,5953.4871244131455
2006,Norte,431,5693.307331786543
2006,Sudeste,5875,1432.6260238297873
2006,Sul,3352,446.8251700477327
2007,Centro-oeste,448,1736.7990848214286
2007,Nordeste,891,2500.439034792368
2007,Norte,455,2792.7898681318684
2007,Sudeste,6199,725.4557880303274
2007,Sul,3601,429.74730352679813
2008,Centro-oeste,493,2472.1552941176474
2008,Nordeste,906,2250.7867218543047
2008,Norte,479,3382.576597077244
2008,Sudeste,6473,880.5336258303723
2008,Sul,3671,537.1402914737129
2009,Centro-oeste,453,246.60099337748343
2009,Nordeste,883,194.9733295583239
2009,Norte,445,28.99676404494382
2009,Sudeste,6339,48.56133459536204
2009,Sul,3307,17.792745690958572
2010,Centro-oeste,510,191.34670588235292
2010,Nordeste,1014,187.02226824457594
2010,Norte,475,22.470821052631578
2010,Sudeste,6836,62.67304271503803
2010,Sul,3365,26.36627340267459
2011,Centro-oeste,596,304.79327181208055
2011,Nordeste,1153,250.91214223764095
2011,Norte,563,253.048703374778
2011,Sudeste,7633,86.68655050438883
2011,Sul,3644,27.514772228320528
2012,Centro-oeste,676,704.9599556213018
2012,Nordeste,1264,940.6464161392406
2012,Norte,672,887.2895833333333
2012,Sudeste,8224,409.6792230058366
2012,Sul,3957,180.92360626737425
2013,Centro-oeste,744,515.9147311827957
2013,Nordeste,1513,754.2865697290152
2013,Norte,797,717.5207653701381
2013,Sudeste,9450,437.4681597883598
2013,Sul,4527,289.68772697150433
2014,Centro-oeste,769,1001.2348764629389
2014,Nordeste,1644,634.2104562043795
2014,Norte,806,838.316017369727
2014,Sudeste,9871,409.4847664876912
2014,Sul,4668,237.8522472150814
2015,Centro-oeste,805,1038.9228198757764
2015,Nordeste,1784,541.5740414798206
2015,Norte,806,881.8878163771711
2015,Sudeste,10345,322.84073948767525
2015,Sul,4838,332.45698635799914
2016,Centro-oeste,840,856.8276904761905
2016,Nordeste,1862,860.565730397422
2016,Norte,793,706.2040479192939
2016,Sudeste,10662,288.24277809041456
2016,Sul,4952,220.52217891760907
2017,Centro-oeste,839,559.7016448152563
2017,Nordeste,1989,807.5113474107592
2017,Norte,815,697.3326012269938
2017,Sudeste,10867,403.8083896199503
2017,Sul,5136,180.9578816199377
2018,Centro-oeste,864,593.8076041666666
2018,Nordeste,2068,862.0324323017409
2018,Norte,836,676.7484330143542
2018,Sudeste,11498,443.99639850408767
2018,Sul,5160,211.49118023255815
2019,Centro-oeste,865,850.0219768786127
2019,Nordeste,2056,1073.1797616731517
2019,Norte,866,632.2705427251733
2019,Sudeste,11384,397.11456430077305
2019,Sul,5227,134.7267266118232
2020,Centro-oeste,891,519.7406060606061
2020,Nordeste,2154,931.6746564531105
2020,Norte,854,666.4530562060891
2020,Sudeste,11674,377.52190166181254
2020,Sul,5334,158.3617604049494
