,ISIC_12,Total
0,Financial,68119
1,Agriculture,1284
2,Business,1631
3,Construction,3816
4,Government,668
5,Manufacturing,99247
6,Mining,5515
7,OtherServices,892
8,Trade,32036
9,Transport,3333
10,Utilities,2607
11,RealEstate,25
