,Estado,Mediana_Ecoeficiencia
0,ACRE,902017.7729048582
1,ALAGOAS,209058.61456483125
2,AMAPA,153492.39782560276
3,AMAZONAS,126043.18371054422
4,BAHIA,158223.18083003952
5,CEARA,108398.28453125
6,DISTRITO FEDERAL,249779.73495380752
7,ESPIRITO SANTO,305111.39576883387
8,GOIAS,187230.74782608697
9,MARANHAO,352826.3458333333
10,MATO GROSSO,220390.114
11,MATO GROSSO DO SUL,142088.638553984
12,MINAS GERAIS,174385.38304347827
13,PARA,210280.39297500002
14,PARAIBA,104609.37065637067
15,PARANA,177888.04833463902
16,PERNAMBUCO,228492.52269999997
17,PIAUI,433823.282844174
18,RIO DE JANEIRO,279451.197
19,RIO GRANDE DO NORTE,169107.3774464119
20,RIO GRANDE DO SUL,168017.97583655457
21,RONDONIA,127146.41343042071
22,RORAIMA,3143545.541988357
23,SANTA CATARINA,155599.93015151515
24,SAO PAULO,254024.03213675215
25,SERGIPE,355863.146624377
26,TOCANTINS,147449.51720000105
