,ISIC_12,Total
0,Financial,30033
1,Agriculture,2499
2,Business,2941
3,Construction,4840
4,Government,1141
5,Manufacturing,164229
6,Mining,11272
7,OtherServices,1490
8,Trade,11474
9,Transport,1691
10,Utilities,8177
11,RealEstate,31
