,ISIC_12,Total
0,Construction,4470
1,Manufacturing,147528
2,Trade,13232
3,Agriculture,1412
4,Business,2217
5,Mining,9880
6,Transport,1469
7,Utilities,5140
8,Financial,89
9,Government,454
10,OtherServices,1070
11,RealEstate,42
