Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia
ACRELANDIA,Manufacturing,3,41681.6720625
BRASILEIA,Manufacturing,5,1089.5755708333334
CAPIXABA,Manufacturing,15,453.8443601698628
CAPIXABA,Trade,12,2879.359731707317
CRUZEIRO DO SUL,Manufacturing,3,563.3174285714285
CRUZEIRO DO SUL,Utilities,17,109.85490616950817
CRUZEIRO DO SUL,Trade,54,13164.444166666664
CRUZEIRO DO SUL,Business,4,12.827372345151815
CRUZEIRO DO SUL,Construction,7,173.8932525
CRUZEIRO DO SUL,Transport,7,478.9277108433735
FEIJO,Utilities,6,131.03992424391788
JORDAO,Utilities,7,848.843612716763
MANOEL URBANO,Trade,16,3027.6659375
MARECHAL THAUMATURGO,Utilities,4,155.50159120364566
PLACIDO DE CASTRO,Manufacturing,10,522.7305942579546
PORTO WALTER,Utilities,4,1822.0770418147679
RIO BRANCO,Manufacturing,68,1194.4518216733763
RIO BRANCO,Trade,296,5693.877666666666
RIO BRANCO,Construction,10,30056.42727969349
RIO BRANCO,Transport,17,311.80265925925926
SANTA ROSA DO PURUS,Utilities,6,776.0167417840375
SENA MADUREIRA,Trade,7,7538.333125
SENADOR GUIOMARD,Trade,23,11108.506039215687
TARAUACA,Manufacturing,3,416.4327383346741
TARAUACA,Utilities,6,266.7841890615988
XAPURI,Trade,6,4445.057874444445
ARAPIRACA,Manufacturing,174,341.92283656791045
ARAPIRACA,Utilities,15,5109.591895
ARAPIRACA,Trade,264,1640.3055684210526
ARAPIRACA,Business,8,43.703187932467536
ARAPIRACA,Agriculture,8,10414.257245762712
ARAPIRACA,Mining,31,144.60591666666667
ATALAIA,Manufacturing,12,921.1192666666667
ATALAIA,Trade,54,3938.329839285714
ATALAIA,Mining,8,342.34170417928533
BATALHA,Manufacturing,9,2575.7116071978767
BATALHA,Trade,35,6702.804232283464
BOCA DA MATA,Manufacturing,14,642.029756097561
BOCA DA MATA,Trade,4,561.3872583333334
CACIMBINHAS,Trade,3,902.1846
CAMPO ALEGRE,Manufacturing,40,70.69105921646164
CAMPO ALEGRE,Trade,18,874.019515
CAMPO ALEGRE,Business,9,8538.1258
CAMPO ALEGRE,Mining,25,11923.984413580247
CAMPO GRANDE,Manufacturing,741,175.0955045966382
CAMPO GRANDE,Utilities,274,186.53415759530526
CAMPO GRANDE,Trade,2451,1885.5822681407035
CAMPO GRANDE,Business,19,596.0105065129378
CAMPO GRANDE,Construction,19,388.2606615776082
CAMPO GRANDE,Transport,286,1701.9256038647343
CAMPO GRANDE,Mining,86,2165.5171182971017
CAMPO GRANDE,Financial,4,3964.8823095
CAMPO GRANDE,OtherServices,18,1545.4089333333334
CAPELA,Manufacturing,7,809.0907601851851
CHA PRETA,Trade,4,8527.3516
CORURIPE,Manufacturing,98,93.13073720728534
CORURIPE,Trade,7,9753887.0
CORURIPE,Agriculture,8,710.8640064814815
CRAIBAS,Trade,26,6229.423205748077
CRAIBAS,Mining,4,52.3626884222607
DELMIRO GOUVEIA,Manufacturing,11,140.57001450733532
DELMIRO GOUVEIA,Trade,49,3903.7970000000005
DELMIRO GOUVEIA,Business,10,215.69300262158959
DOIS RIACHOS,Trade,5,2049.0633214285713
FELIZ DESERTO,Trade,4,501.3968785714286
GIRAU DO PONCIANO,Manufacturing,8,93.53668879363215
GIRAU DO PONCIANO,Trade,47,2313.1932117647057
IGACI,Trade,4,15142.3822
IGREJA NOVA,Manufacturing,28,0.8772928908828209
JAPARATINGA,Trade,7,5904.18843
LAGOA DA CANOA,Manufacturing,8,4006.200553571429
LAGOA DA CANOA,Trade,35,4235.306590909091
MACEIO,Manufacturing,294,73.91816
MACEIO,Utilities,156,1756.1113214285715
MACEIO,Trade,542,2144.1546457588015
MACEIO,Business,17,628.1229298245614
MACEIO,Construction,75,2020.1282760000001
MACEIO,Transport,103,736.9330508474576
MACEIO,Mining,35,137.56066086956523
MAJOR ISIDORO,Manufacturing,31,503.7646759259259
MARAGOGI,Manufacturing,5,28.951641249999998
MARAGOGI,Trade,52,399.0904115567114
MARAVILHA,Manufacturing,233,324.50363157894736
MARAVILHA,Trade,79,597.1715008264463
MARECHAL DEODORO,Manufacturing,173,184.67207132896183
MARECHAL DEODORO,Utilities,8,5769.128718884427
MARECHAL DEODORO,Trade,8,1018.5296569382097
MARECHAL DEODORO,OtherServices,7,5.927301435406698
