,Setor,Mediana_Ecoeficiencia
0,Manufacturing,20553.8211952412
1,Utilities,19835.55675
2,Business,21233.540266666667
3,Construction,19464.21388965051
4,Government,9441.867400720164
5,Trade,18121.96771666667
6,Agriculture,16527.744699278268
7,Mining,23914.009324894516
8,Transport,19789.614176767675
9,OtherServices,25800.69338961039
10,Financial,20710.896099502486
11,RealEstate,111992.155
