,ISIC_12,Total
0,Construction,4533
1,Manufacturing,149783
2,Trade,13440
3,Agriculture,1442
4,Business,2226
5,Mining,10128
6,Transport,1479
7,Utilities,5215
8,Financial,92
9,Government,456
10,OtherServices,1082
11,RealEstate,42
