,ISIC_12,Total
0,Financial,33638
1,Agriculture,2767
2,Business,3266
3,Construction,5864
4,Government,1205
5,Manufacturing,189266
6,Mining,13146
7,OtherServices,1676
8,Trade,12724
9,Transport,1821
10,Utilities,8958
11,RealEstate,36
