,Municipio,Mediana_Ecoeficiencia
163,BAIXA GRANDE,386.07184000000007
164,BARRA,737.7446096654276
165,BARRA DA ESTIVA,1211.4285499999999
166,BARRA DO ROCHA,125036.4779139785
167,BARREIRAS,1905.28796375
168,BARRO PRETO,2082999.356
169,BARROCAS,312.8843927100746
170,BELMONTE,2347.4504583333332
171,BELO CAMPO,4011.6237442528736
172,BOA VISTA DO TUPIM,568.2854166666666
173,BOM JESUS DA LAPA,289.949994
174,BOQUIRA,341.3228114492754
175,BREJOES,1353.4242000000002
176,BROTAS DE MACAUBAS,162.91426800111066
177,BRUMADO,592.3675187969925
178,BUERAREMA,692.9066666666666
179,BURITIRAMA,2339.0887293650794
180,CACHOEIRA,173.56281830548
181,CACULE,6611.510967741935
182,CAETITE,1250.09925
183,CAFARNAUM,778.5153134166667
184,CAMACAN,2861.3810000000003
185,CAMACARI,303.57365992834934
186,CAMAMU,4341.106152666667
187,CAMPO ALEGRE DE LOURDES,742.5862229679344
188,CAMPO FORMOSO,5411.682344263183
189,CANARANA,839.47875
190,CANAVIEIRAS,1222.1373574950503
191,CANDEIAS,464.0509893866064
192,CANDIBA,372.0351065
193,CANDIDO SALES,3297.1532
194,CANSANCAO,5590.6002
195,CAPELA DO ALTO ALEGRE,790.6666666666666
196,CAPIM GROSSO,886.5245225806452
197,CARAVELAS,3083.392257142857
198,CARDEAL DA SILVA,19267.288
199,CARINHANHA,715.5172342857143
200,CASA NOVA,179.8705900621118
201,CASTRO ALVES,610.5101550336233
202,CATOLANDIA,4085.08168190128
203,CATU,377.3902249495677
204,CATURAMA,3956.342105263158
205,CIPO,14856.792500000001
206,COCOS,233421.25
207,CONCEICAO DA FEIRA,755361.9129
208,CONCEICAO DO ALMEIDA,960.619464703792
209,CONCEICAO DO COITE,71.24775468600355
210,CONCEICAO DO JACUIPE,602.1044012282498
211,CONDE,95.86335704022989
212,CORACAO DE MARIA,2396.7116148861646
213,CORDEIROS,168.48426091869254
214,CORIBE,565.7534615384616
215,CORRENTINA,1392.9447873239437
216,COTEGIPE,23141.164933333333
217,CRISOPOLIS,7297.308157894738
218,CRUZ DAS ALMAS,3001.897272727273
219,CURACA,163.830153
220,DARIO MEIRA,11742.328926470589
221,DIAS D'AVILA,880.9548324494742
222,DOM MACEDO COSTA,94.79739090376077
223,ENCRUZILHADA,917.537
224,ENTRE RIOS,30668.297404501493
225,ERICO CARDOSO,1953.6495548961425
226,ESPLANADA,528.54186
227,EUCLIDES DA CUNHA,3684.2934933333336
228,EUNAPOLIS,2509.3839512195123
229,FEIRA DE SANTANA,917.8742352380953
230,FILADELFIA,1435.4704695652174
231,FORMOSA DO RIO PRETO,925.0221
232,GANDU,6071887.5
233,GAVIAO,1644.1282
234,GENTIO DO OURO,235.96553883333334
235,GLORIA,1681.0196
236,GOVERNADOR MANGABEIRA,299.09293964646463
237,GUANAMBI,396.4126222222222
238,GUARATINGA,9758.160367149758
239,IACU,72.82516393442623
240,IBIASSUCE,38.193314117808214
241,IBICARAI,1048306.3853333334
242,IBICOARA,24428.040606060607
243,IBIRAPITANGA,17098.324537083332
244,IBIRAPUA,29721.034615384615
245,IBITITA,491.26798377227516
246,IBOTIRAMA,918.8350476190476
247,IGAPORA,656.8854736842105
248,IGRAPIUNA,199.19259493670887
249,IGUAI,3876.9979795886074
250,ILHEUS,1001.6663814616755
251,INHAMBUPE,4599.771783333334
252,IPIAU,30487.025
253,IPIRA,967.5676293650793
254,IPUPIARA,1117.0785
255,IRAJUBA,53692.405386608014
256,IRAQUARA,680.5124400361074
257,IRECE,2569.0745833333335
258,ITABELA,5662.067272961816
259,ITABERABA,210.01657805430312
260,ITABUNA,1779.0330260981168
261,ITACARE,58913.32372007164
262,ITAGIBA,15918.796666666665
263,ITAGIMIRIM,1574.863675275913
264,ITAGUACU DA BAHIA,94.12079656354291
265,ITAJUIPE,2641413.062
266,ITAMARAJU,813.2017583892617
267,ITAMBE,2202.4110666666666
268,ITANHEM,115.8218376753507
269,ITAPARICA,9209.495374107144
270,ITAPE,2055.812655844156
271,ITAPEBI,176341.37526923828
272,ITAPETINGA,290.413757
273,ITARANTIM,722.1282644166666
274,ITATIM,1364.0391875
275,ITIRUCU,16354.523652777778
276,ITIUBA,72514.849875
277,ITORORO,3513.302087393593
278,ITUACU,301.7217197452229
279,JABORANDI,1359.4795199999999
280,JACARACI,8401.22676863354
281,JACOBINA,484.36686
282,JAGUAQUARA,5377.6475
283,JAGUARARI,14444.85552027027
284,JAGUARIPE,3.1070081226971262
285,JEQUIE,702.0784448515171
286,JEREMOABO,4054.53885
287,JIQUIRICA,63648.432268367345
288,JUAZEIRO,463.4973657718121
289,JUCURUCU,30216.783377192984
290,JUSSIAPE,420.2873666666667
291,LAFAIETE COUTINHO,11964.48997777778
292,LAGOA REAL,3870.802315
293,LAJE,4578.184432255323
294,LAJEDAO,52521.6032034632
295,LAJEDO DO TABOCAL,139592.874
296,LAURO DE FREITAS,2172.3734567901233
297,LENCOIS,3639.783493670886
298,LICINIO DE ALMEIDA,40.08751082714285
299,LIVRAMENTO DE NOSSA SENHORA,281.06351
300,LUIS EDUARDO MAGALHAES,2984.504
301,MACAJUBA,36.518293152636126
302,MACARANI,9085.555714285714
303,MACAUBAS,695320.2119999999
304,MADRE DE DEUS,1426.2226
305,MAIQUINIQUE,1182.2033520581115
306,MALHADA,7443.113194793463
307,MALHADA DE PEDRAS,2669.487611111111
308,MANOEL VITORINO,5541.33708
309,MARACAS,12.200991393713425
310,MARAGOGIPE,209.1562471705912
311,MARAU,448.31336700336703
312,MASCOTE,2613.270138888889
313,MATA DE SAO JOAO,107.39772980934887
314,MATINA,50.05883625
315,MEDEIROS NETO,283.12577105341245
316,MIGUEL CALMON,1070.4828833333336
317,MIRANGABA,3536.39033
318,MORRO DO CHAPEU,30.794359999999998
319,MORTUGABA,1675.6647903768117
320,MUCUGE,33399837.5
321,MUCURI,529.2566079295154
322,MUNIZ FERREIRA,1904.1514716504082
323,MUQUEM DE SAO FRANCISCO,328.7523125
324,MURITIBA,4903.959123060267
325,MUTUIPE,1109.89624375
326,NAZARE,3481.5494
327,NORDESTINA,225.170109032148
328,NOVA CANAA,48488.376000000004
329,NOVA SOURE,111.0443336376084
330,NOVA VICOSA,1050.4337568922306
331,NOVO HORIZONTE,904.8725451162791
332,OLIVEIRA DOS BREJINHOS,547.7843
333,OURICANGAS,1431.1655
334,OUROLANDIA,3742.0485799484204
335,PALMAS DE MONTE ALTO,220.989499
336,PALMEIRAS,4655.056680881307
337,PARAMIRIM,687.4494259012016
338,PARATINGA,2899.2411
339,PAU BRASIL,800.2223122368421
340,PAULO AFONSO,624.8142376193298
341,PE DE SERRA,28781.220666666668
342,PINDAI,196.127829
343,PINDOBACU,1103.595634920635
344,PINTADAS,548.76312
345,PIRAI DO NORTE,11832.354166666666
346,PIRIPA,1068.5494455
347,PIRITIBA,1409.7505965208331
348,PLANALTO,184.49328671874997
349,POJUCA,578.7823142857143
350,PORTO SEGURO,1592.4350000000002
351,POTIRAGUA,5686.005969749518
352,PRADO,360.15159166666666
353,PRESIDENTE JANIO QUADROS,23.388508785714286
354,PRESIDENTE TANCREDO NEVES,123687.77818181818
355,QUIJINGUE,2150.5202815885514
356,QUIXABEIRA,2602.5376166666665
357,RAFAEL JAMBEIRO,1514.3113075
358,REMANSO,3453.1737333333335
359,RETIROLANDIA,36.13653686863207
360,RIACHAO DAS NEVES,2605.7425
361,RIACHAO DO JACUIPE,5476.136338238935
362,RIACHO DE SANTANA,18780.361666666668
363,RIBEIRA DO POMBAL,3356.4849180327865
364,RIO DE CONTAS,97346.53833333333
365,RIO DO ANTONIO,12371.593108750001
366,RIO REAL,10.703473318181818
367,RUY BARBOSA,71.60375509007253
368,SALINAS DA MARGARIDA,4279.975399999999
369,SALVADOR,823.1487560110367
