,Setor,Mediana_Ecoeficiencia
0,Manufacturing,1217941.3675213675
1,Utilities,1261090.3182119206
2,Business,1317581.8181818181
3,Construction,1186589.1466666667
4,Financial,1558073.0396344084
5,Trade,1271184.5806451612
6,Agriculture,1429641.782648535
7,Government,1190217.9999999998
8,Mining,1267514.9558434896
9,OtherServices,1332583.94
10,Transport,1292204.0615767005
11,RealEstate,1789282.7937500002
