,Municipio,Mediana_Ecoeficiencia
0,CAPIXABA,1939305.0551000002
1,CRUZEIRO DO SUL,31722.35187161839
2,FEIJO,53247077170.27027
3,RIO BRANCO,1193515.4224837353
4,AGUA BRANCA,4819.524935165404
5,ARAPIRACA,113745.47078271634
6,ATALAIA,588558.4428302394
7,BATALHA,2584097.8813808737
8,BOCA DA MATA,16552459.666666666
9,CAMPO ALEGRE,432508.3049779736
10,CHA PRETA,2473.4632043911074
11,COLONIA LEOPOLDINA,20376643.0
12,CORURIPE,212438.24781453767
13,CRAIBAS,1902.2825
14,DELMIRO GOUVEIA,386324.4107874335
15,GIRAU DO PONCIANO,53566421.385614626
16,JACARE DOS HOMENS,97829507.57575758
17,LAGOA DA CANOA,193890.4559006211
18,MACEIO,187673.44475555557
19,MARAVILHA,488377.91587858927
20,MARECHAL DEODORO,23958.389155337252
21,MESSIAS,1859555.720059277
22,OLHO D'AGUA DAS FLORES,28217551.172708333
23,PALMEIRA DOS INDIOS,250502.7272222222
24,PENEDO,819705421.6057673
25,PILAR,388520.6923076923
26,RIO LARGO,63066.38023809524
27,SANTANA DO IPANEMA,408588603.7809352
28,SAO JOSE DA LAJE,8293389.968391426
29,SAO MIGUEL DOS CAMPOS,275193.14557078265
30,SAO SEBASTIAO,358288.9554652778
31,TEOTONIO VILELA,367493.59285714285
32,UNIAO DOS PALMARES,1120217.3333333333
33,VICOSA,24909.724310502283
34,CALCOENE,8916.9
35,FERREIRA GOMES,402198.21389645775
36,MACAPA,3505.420833333333
37,OIAPOQUE,81411.50078843063
38,PEDRA BRANCA DO AMAPARI,695665.9845022272
39,SANTANA,273252.74611111113
40,SERRA DO NAVIO,42164.78365
41,VITORIA DO JARI,60432.267441860466
42,ALVARAES,145793242.48152173
43,AMATURA,4354.0259607843145
44,ANORI,766070.4580152672
45,APUI,1114062.305
46,ATALAIA DO NORTE,32346.00495265841
47,AUTAZES,2220.1321343164605
48,BARCELOS,2051.952077544701
49,BARREIRINHA,53050.58595238095
50,BENJAMIN CONSTANT,1420405.0292766932
51,BOA VISTA DO RAMOS,48371692.300000004
52,BOCA DO ACRE,7818383.858477757
53,CANUTAMA,180075.02528735634
54,CARAUARI,6236.489711111111
55,CAREIRO DA VARZEA,274314.0333333333
56,COARI,1525703.5151515151
57,CODAJAS,17556.605835120823
58,EIRUNEPE,2878.3798666666667
59,FONTE BOA,835758909.5697663
60,HUMAITA,289427.2863636364
61,IRANDUBA,1026145.7654157636
62,ITACOATIARA,190570.4294117647
63,JAPURA,101649.21111111112
64,JURUA,365937.16
65,LABREA,22281.2461
66,MANACAPURU,139186.43833333332
67,MANAQUIRI,2099.4658116319447
68,MANAUS,114381.19
69,MANICORE,2690714.411764706
70,MARAA,132585.92753623187
71,MAUES,182948.91187594555
72,NOVA OLINDA DO NORTE,106603.68333333333
73,PARINTINS,599.512
74,PAUINI,1257.8034
75,PRESIDENTE FIGUEIREDO,266060.4191666667
76,RIO PRETO DA EVA,11049.464964046614
77,SANTO ANTONIO DO ICA,13161.412558510638
