,Setor,Mediana_Ecoeficiencia
0,Manufacturing,290.55614235906006
1,Utilities,293.2896228893058
2,Trade,330.7787412
3,Business,306.30639030337807
4,Construction,405.92864583333335
5,Transport,192.33683472512618
6,Agriculture,456.3574719161528
7,Government,232.99535602851245
8,Mining,297.7199940673944
9,OtherServices,378.6601154047668
10,Financial,198.11453835420346
11,RealEstate,1196.6434013148614
