,Setor,Mediana_Ecoeficiencia
0,Financial,118321.30262727648
1,Manufacturing,195150.74066550523
2,Construction,181320.76605452667
3,Trade,197032.3196767001
4,Utilities,177301.0152284264
5,Government,250971.159721757
6,Transport,256370.80154562328
7,Agriculture,119453.28333333334
8,OtherServices,165287.2279513889
9,Business,230350.98207853024
10,Mining,240732.4681818182
11,RealEstate,306320.7854705015
