,ISIC_12,Total
0,Financial,156
1,Manufacturing,124766
2,Utilities,5929
3,Trade,93082
4,Agriculture,2591
5,Construction,2742
6,Mining,6585
7,Transport,7293
8,Business,2615
9,Government,858
10,OtherServices,2167
11,RealEstate,74
