,Setor,Mediana_Ecoeficiencia
0,Manufacturing,439.81173228601256
1,Utilities,286.9638362842928
2,Trade,1956.2590897097625
3,Business,732.468375
4,Construction,781.2688830123145
5,Transport,549.372213622291
6,Government,417.1900933333333
7,Agriculture,1431.8893333333333
8,Mining,615.2522155911973
9,Financial,273.04965363636364
10,OtherServices,291.6473619743542
11,RealEstate,543.1714029850747
